id,title,released,developer,publisher,released_on
2950,"Star Trek: The Promethean Prophecy",1986,"TRANS Fiction Systems","Simon & Schuster Interactive",1986-01-01
2951,"Star Trek: The Rebel Universe",1988,"Simon & Schuster Interactive","Simon & Schuster Interactive",1988-01-01
2952,"Star Trek V: The Final Frontier",1989,"Level Systems",Mindscape,1989-01-01
2953,"Star Wars",1988,Atari,"Brøderbund",1988-01-01
2954,"Star Wars Chess",1993,"Software Toolworks","Software Toolworks",1993-01-01
2955,"Star Wars: Dark Forces",1995,LucasArts,LucasArts,1995-01-01
2956,"Star Wars: Rebel Assault",1993,LucasArts,LucasArts,1993-01-01
2957,"Star Wars: Rebel Assault II - The Hidden Empire",1995,LucasArts,LucasArts,1995-01-01
2958,"Star Wars: Return of the Jedi",1988,"Atari Games",Domark,1988-01-01
2959,"Star Wars: TIE Fighter",1994,LucasArts,Softgold,1994-01-01
2960,"Star Wars: TIE Fighter - Defender of the Empire",1994,LucasArts,Softgold,1994-01-01
2961,"Star Wars: X-Wing",1993,LucasArts,LucasArts,1993-01-01
2962,"Star Wars: X-Wing - B-Wing",1993,LucasArts,LucasArts,1993-01-01
2963,"Star Wars: X-Wing - Imperial Pursuit",1993,LucasArts,LucasArts,1993-01-01
2964,"States and Capitals","","","",
2965,Stationfall,1987,Infocom,Infocom,1987-01-01
2966,"Steel Panthers",1995,"Strategic Simulations",Mindscape,1995-01-01
2967,"Steel Panthers",1996-11,"Strategic Simulations, Novastar Game Co.","Strategic Simulations",
2968,"Steel Panthers II: Modern Battles",1996,"Strategic Simulations",Mindscape,1996-01-01
2969,"Steel Panthers 2: Modern Battles: Campaign Disk",1996,"Strategic Simulations",Mindscape,1996-01-01
2970,"Steel Panthers III: Brigade Command (1939-1999)",1997,"Strategic Simulations","Strategic Simulations",1997-01-01
2971,"Steel Thunder",1989,NovaLogic,"Accolade Inc.",1989-01-01
2972,"Steg the Slug","","","",
2973,"Steigenberger Hotelmanager","","","",
2974,"Stellar 7",1990,Dynamix,Dynamix,1990-01-01
2975,"Stellar Conquest 3: Hostile Takeover","","","",
2976,S-Tetris,"","","",
2977,StixWorld,"","","",
2978,"Stock Market: The Game","","","",
2979,"Stocks And Bonds","","","",
2980,Stonekeep,1995,"Interplay Productions","Interplay Productions",1995-01-01
2981,Storm,1987,Mastertronic,Mastertronic,1987-01-01
2982,"Storm Across Europe",1989,"Raffaele Cecco","Hewson Consultants",1989-01-01
2983,Stormlord,1989,RazorSoft,"Hewson Consultants",1989-01-01
2984,"Storm Master","","","",
2985,Stratego,"","","",
2986,"Strategy Games",1983,IBM,IBM,1983-01-01
2987,"Street Ball","","","",
2988,"Street Cat","","","",
2989,"Street Fighter",1988,Tiertex,"U.S. Gold",1988-01-01
2990,"Street Fighter II",1992,"U.S. Gold","U.S. Gold",1992-01-01
2991,"Street Racer",1997,"Vivid Image",Ubisoft,1997-01-01
2992,"Street Rod",1989,"P.Z.Karen Co. Development Group, Logical Design Works","California Dreams",1989-01-01
2993,"Street Rod 2: The Next Generation",1991,"P.Z.Karen Co. Development Group, Logical Design Works","California Dreams",1991-01-01
2994,"Street Sports Baseball",1987,Epyx,Epyx,1987-01-01
2995,"Street Sports Basketball",1988,Epyx,"U.S. Gold",1988-01-01
2996,"Street Sports Soccer",1988,Epyx,Epyx,1988-01-01
2997,Strider,1989,Capcom,"U.S. Gold",1989-01-01
2998,Strife,1996,"Rogue Entertainment","Studio 3DO",1996-01-01
2999,"Strike Aces","","","",
3000,"Strike Commander",1993,"Origin Systems","Electronic Arts",1993-01-01
3001,"Strike Commander: Tactical Operations",1993,"Origin Systems","Electronic Arts",1993-01-01
3002,"Strike Fleet",1987,LucasArts,"Electronic Arts",1987-01-01
3003,Striker,1992,"Rage Software","Rage Software",1992-01-01
3004,"Striker '95",1995,"Rage Software","Rage Software",1995-01-01
3005,"Striker '96",1996,"Rage Software","Acclaim Entertainment",1996-01-01
3006,"Strike Squad",1993,"Mindcraft Software","Mindcraft Software",1993-01-01
3007,"Strip Poker: A Sizzling Game of Chance","","","",
3008,"Strip Poker II","","","",
3009,"Strip Poker III","","","",
3010,"Strip Poker Professional","","","",
3011,"Strip Poker Professional rev. B","","","",
3012,Stronghold,1993,"Stormfront Studios","Strategic Simulations",1993-01-01
3013,Stryx,1990,Pygnosis,Psyclapse,1990-01-01
3014,Styx,1983,"Windmill Software","Windmill Software",1983-01-01
3015,"S.T.U.N. Runner",1990,"Atari Games Corporation",Domark,1990-01-01
3016,"Stunt Driver",1990,"Sphere, Inc.","Spectrum Holobyte",1990-01-01
3017,"Stunt Island",1992,"The Assembly Line","Disney Interactive",1992-01-01
3018,Stunts,1990,"Distinctive Software","Brøderbund, Mindscape",1990-01-01
3019,"Stunt Track Racer",1989,MicroStyle,"Microprose, MicroPlay",1989-01-01
3020,"SU-25 Stormovik",1990,"Electronic Arts","Electronic Arts",1990-01-01
3021,"Su-27 Flanker",1996,"Eagle Dynamics","Strategic Simulations",1996-01-01
3022,"Sub Battle Simulator",1987,"Digital Illusions",Epyx,1987-01-01
3023,Subbuteo,"","","",
3024,Submarine,"","","",
3025,"Submarine Fury","","","",
3026,"Sub Mission",1987,"Tom Snyder Productions",Mindscape,1987-01-01
3027,Subtrade,1994,"Century Interactive","Boeder Software",1994-01-01
3028,"Suburban Commando","","","",
3029,"Subwar 2050",1993,"Particle Systems","MicroProse Software",1993-01-01
3030,"Subwar 2050: The Plot Deepens",1993,"Particle Systems","MicroProse Software",1993-01-01
3031,"Summer Challenge","","","",
3032,"Summer Games II",1986,Epyx,Epyx,1986-01-01
3033,"Summoning, The",1992,"Event Horizon","Strategic Simulations",1992-01-01
3034,Supaplex,1991,"Think!Ware Development","Digital Integration",1991-01-01
3035,"Superbike Challenge",1995,Lankhor,"Domark, Time Warner Interactive",1995-01-01
3036,"Super Angelo","","","",
3037,"Super Boulder Dash",1986,"First Star Software","Electronic Arts",1986-01-01
3038,"Super C",1990,Konami,Konami,1990-01-01
3039,"Supercars International",1996-07-31,"Magnetic Fields","The Hit Squad",1996-07-31
3040,"Super Cauldron",1992,"Titus Software","Titus Software",1992-01-01
3041,"Super Fighter",1993,C&E,C&E,1993-01-01
3042,Superfly,1994,"Arcanum Computing","Arcanum Computing",1994-01-01
3043,Superfrog,1993,Team17,Team17,1993-01-01
3044,"Super Football Sunday",1985,"Quest Inc.","Avalon Hill",1985-01-01
3045,"Super Hang-On",1987,Sega,"Data East",1987-01-01
3046,"Superhero League of Hoboken",1994,"Legend Entertainment","Legend Entertainment",1994-01-01
3047,"Super Huey II",1988,"Cosmi Corporation","Cosmi Corporation",1988-01-01
3048,"Super Huey UH-IX",1988,"Cosmi Corporation","Cosmi Corporation",1988-01-01
3049,SuperKarts,1995,"Manic Media","Virgin Interactive",1995-01-01
3050,"Super League Pro Rugby","","","",
3051,"Super Munchers","","","",
3052,"Super 3D Noah's Ark",1994,"Wisdom Tree","Wisdom Tree",1994-01-01
3053,Supernova,1987,"Apogee Software","Apogee Software",1987-01-01
3054,"Super Off Road",1990,"Leland Corporation","Virgin Mastertronic",1990-01-01
3055,"Super Pac-Man",1988,Namco,"Beam Software",1988-01-01
3056,"Super Panic Monsters","","","",
3057,"Super Solvers: Gizmos & Gadgets",1993,"The Learning Company","The Learning Company",1993-01-01
3058,"Super Solvers: Midnight Rescue!",1989,"The Learning Company","The Learning Company",1989-01-01
3059,"Super Solvers: OutNumbered!",1990,"The Learning Company","The Learning Company",1990-01-01
3060,"Super Stardust",1996,Housemarque,GameTek,1996-01-01
3061,"Superstar Ice Hockey",1987,"DesignStar Consultants",Mindscape,1987-01-01
3062,"Super Street Fighter II",1996,Capcom,Capcom,1996-01-01
3063,"Super Street Fighter II Turbo",1995,Capcom,GameTek,1995-01-01
3064,"Super Sumo Wrestling 2002","","","",
3065,"Super Tetris","","","",
3066,"Super Worms","","","",
3067,"Super-VGA Harrier",1993,Simis,Domark,1993-01-01
3068,"Super Zaxxon",1984,Sega,Sega,1984-01-01
3069,"Super ZZT",1992,"Epic MegaGames","Epic MegaGames",1992-01-01
3070,"Surface Tension","","","",
3071,Suspect,1984,Infocom,Infocom,1984-01-01
3072,Suspended,1983,Infocom,Infocom,1983-01-01
3073,Swing,1997,"Software 2000","Software 2000",1997-01-01
3074,"SWIV 3D",1996,SCi,SCi,1996-01-01
3075,"Sword of Aragon",1989,"Strategic Simulations","Strategic Simulations",1989-01-01
3076,"Sword of Honour",1992,Dynafield,Prestige,1992-01-01
3077,"Sword of the Samurai",1989,MicroProse,MicroProse,1989-01-01
3078,"Swords of Glass","1985[1] or 1986[2][3]","","Keypunch Software[1]",
3079,"Swords of Xeen",1995,Catware,"New World Computing",1995-01-01
3080,Syndicate,1993,"Bullfrog Productions","Electronic Arts",1993-01-01
3081,"Syndicate: American Revolt",1993,"Bullfrog Productions","Electronic Arts",1993-01-01
3082,"Syndicate Plus",1994,"Bullfrog Productions","Bullfrog Productions",1994-01-01
3083,"Syndicate Wars",1996,"Bullfrog Productions","Electronic Arts",1996-01-01
3084,Synnergist,"","","",
3085,"System Shock",1994,"Looking Glass Studios","Origin Systems, Electronic Arts",1994-01-01
3086,"T2: The Arcade Game",1993,"Midway Games","Virgin Games",1993-01-01
3087,"Taco Bell: Tasty Temple Challenge","","","",
3088,"Taco Nazi: The Game","","","",
3089,"Tactical Operations II: Beyond Destruction","","","",
3090,"Tag Team Wrestling",1985,"Data East","Data East",1985-01-01
3091,Tai-Pan,1987,"Ocean Software","Ocean Software",1987-01-01
3092,"Taito's Super Space Invaders","","","",
3093,"Tales of the Unknown, Volume I: The Bard's Tale",1987,"Electronic Arts","Interplay Entertainment",1987-01-01
3094,"Talisman: Challenging the Sands of Time","","","",
3095,Tamper,"","","",
3096,"Tangled Tales",1989,"Origin Systems","Origin Systems",1989-01-01
3097,Tank2,"","","",
3098,"Tank: The M1A1 Abrams Battle Tank Simulation","","","",
3099,Tapper,1983,"Marvin Glass and Associates","Bally Midway",1983-01-01
3100,Targhan,"","","",
3101,"Task Force 1942",1992,MicroProse,MicroProse,1992-01-01
3102,"Tass Times in Tonetown",1986,"Brainwave Creations, Interplay Productions",Activision,1986-01-01
3103,"Tau Ceti",1987,"CRL Group PLC","CRL Group PLC",1987-01-01
3104,"Tau Ceti II: Academy",1988,"CRL Group PLC","CRL Group PLC",1988-01-01
3105,Teamtris,1991,"Tony Jedlovsky and Brian Orr","",1991-01-01
3106,"Team Yankee",1990,"Oxford Digital Enterprises","Empire Interactive",1990-01-01
3107,"Tear Down The Wall","","","",
3108,"Techno Cop",1988,"Gray Matter, Imagexcel","U.S. Gold",1988-01-01
3109,"Teen Agent",1995,"Metropolis Software House","Metropolis Software House",1995-01-01
3110,"Teenage Mutant Ninja Turtles",1989,Konami,"Ultra Software Corporation",1989-01-01
3111,"Teenage Mutant Ninja Turtles II: The Arcade Game",1991,Konami,"Image Works",1991-01-01
3112,"Teenage Queen",1988,"ERE Informatique, Exxos",Infogrames,1988-01-01
3113,"Tegel's Mercenaries",1992,Mindcraft,Mindcraft,1992-01-01
3114,Telengard,1985,"Avalon Hill","Avalon Hill",1985-01-01
3115,"Tempest 2000",1994,"Atari Corporation, Llamasoft","Atari Corporation",1994-01-01
3116,"Temple of Apshai",1982,Epyx,"Automated Simulations",1982-01-01
3117,"Temple of Apshai Trilogy",1985,Epyx,"Epyx, Keypunch Software",1985-01-01
3118,"Temple of Kroz",1990,"Scott Miller","Apogee Software",1990-01-01
3119,"Ten Nights of Killing and Mayhem at F.J.B. II","","","",
3120,"Tennis Cup II","","","",
3121,"Terep 2","","","",
3122,"Terminal Terror",1994,"Pie in the Sky Software","Expert Software",1994-01-01
3123,"Terminal Velocity",1995,"Terminal Reality","3D Realms",1995-01-01
3124,"Terminator 2029",1992,"Bethesda Softworks","Bethesda Softworks",1992-01-01
3125,"Terminator 2029: Operation Scour",1993,"Bethesda Softworks","Bethesda Softworks",1993-01-01
3126,"Terminator 2: Judgment Day",1991,LJN,"Ocean Software",1991-01-01
3127,"Terminator 2: Judgment Day - Chess Wars",1993,"Capstone Software",IntraCorp,1993-01-01
3128,"Terminator, The",1991,"Bethesda Softworks","Bethesda Softworks",1991-01-01
3129,"Terminator: Rampage",1993,"Bethesda Softworks","Bethesda Softworks",1993-01-01
3130,"Terminator: Future Shock",1995,"Bethesda Softworks","Bethesda Softworks",1995-01-01
3131,"Terra Nova: Strike Force Centauri",1996,"Looking Glass Technologies","Looking Glass Technologies",1996-01-01
3132,TerraFire,1997,"ORT Software","ORT Software",1997-01-01
3133,"Terror TRAX: Track of the Vampire",1995,"Grolier Electronic Publishing","Grolier Electronic Publishing",1995-01-01
3134,"Terror in Christmas Town",1995,"Michael Zerbo","Michael Zerbo",1995-01-01
3135,Tesserae,1993,"Eurocom Entertainment Software",GameTek,1993-01-01
3136,"Test Drive",1987,"Distinctive Software","Accolade Inc.",1987-01-01
3137,"Test Drive II",1989,"Distinctive Software","Accolade Inc.",1989-01-01
3138,"Test Drive III: The Passion",1990,"Accolade Inc.","Accolade Inc.",1990-01-01
3139,"Test Drive: Off-Road",1997,"Motivetime Ltd.","Accolade Inc.",1997-01-01
3140,Tetripz,1998,"Mute Fantasies","Mute Fantasies",1998-01-01
3141,Tetris,1986,AcademySoft,AcademySoft,1986-01-01
3142,Tetris,1987,"Spectrum Holobyte","Spectrum Holobyte",1987-01-01
3143,"Tetris Classic",1992,"Spectrum Holobyte","Spectrum Holobyte",1992-01-01
3144,"Tetris Gold",1993,"Sphere, Inc.","Spectrum Holobyte",1993-01-01
3145,TFX,1993,"Digital Image Design","Ocean Software",1993-01-01
3146,"Theatre of Death",1994,"The Software Shed",Psygnosis,1994-01-01
3147,"Theatre of Pain",1997,"Mirage Technologies","Mirage Technologies",1997-01-01
3148,"Theatre of War",1992,Artech,"Three-Sixty Pacific",1992-01-01
3149,"Their Finest Hour: The Battle of Britain",1989,"LucasFilm Games","LucasFilm Games",1989-01-01
3150,"Their Finest Missions - Volume One",1989,"Lucasfilm Games",LucasArts,1989-01-01
3151,"Theme Hospital",1997,"Bullfrog Productions","Electronic Arts",1997-01-01
3152,"Theme Park",1994,"Bullfrog Productions","Electronic Arts",1994-01-01
3153,"Theme Park Mystery",1990,"Joined Up Writing Software","Image Works",1990-01-01
3154,Thexder,1987,"Game Arts","Sierra Entertainment",1987-01-01
3155,"Thing, The","","","",
3156,"Thinking Games 2","","","",
3157,"Think Quick!","","","",
3158,"Third Courier, The","","","",
3159,"Third Reich",1996,"Avalon Hill","Avalon Hill",1996-01-01
3160,"Thomas the Tank Engine & Friends Pinball",1995,"Spidersoft Limited","Alternative Software Ltd.",1995-01-01
3161,"Thomas the Tank Engine & Friends",1993,"Software Creations[disambiguation needed]",THQ,1993-01-01
3162,"Thor's Hammer","","","",
3163,"Thor Trilogy, The",1989,"Scenario Software","Apogee Software",1989-01-01
3164,"Three Sisters' Story",1996,"Sakura Soft","JAST USA",1996-01-01
3165,"The Three Stooges",1987,"Incredible Technologies",Cinemaware,1987-01-01
3166,ThunderBlade,1989,SEGA,"U.S. Gold",1989-01-01
3167,Thunderchopper,1989,subLOGIC,subLOGIC,1989-01-01
3168,"Thunderhawk AH-73M",1992,"Core Design","Core Design",1992-01-01
3169,"Thunder in Paradise Interactive","","","",
3170,Thunderstrike,1990,"Millennium Interactive","Millennium Interactive",1990-01-01
3171,"Thunderstrike 2",1995,"Core Design","Core Design",1995-01-01
3172,"Tie Break","","","",
3173,"Tiles of the Dragon",1991,Softdisk,Softdisk,1991-01-01
3174,"Time and Magik",1988,"Level 9","Mandarin Software",1988-01-01
3175,"Time Bandit",1988,MicroDeal,"MichTron Corp.",1988-01-01
3176,"Time Commando",1996,"Adeline Software","Electronic Arts, Activision",1996-01-01
3177,"Time Gate: Knight's Chase",1996,Infogrames,"Infogrames, Interplay Entertainment",1996-01-01
3178,"Time Paradox","","","",
3179,Timequest,1991,"Legend Entertainment","Legend Entertainment",1991-01-01
3180,"Time Riders in American History","","","",
3181,"Time Slaughter","","","",
3182,"Times of Lore",1988,"Origin Systems","Origin Systems",1988-01-01
3183,"Timothy Leary's Mind Mirror",1986,Futique,"Electronic Arts",1986-01-01
3184,"Tintin in Tibet",1996,Infogrames,Infogrames,1996-01-01
3185,"Tintin on the Moon",1989,"Probe Entertainment",Infogrames,1989-01-01
3186,"Tip Off",1992,"Anco Software","Anco Software",1992-01-01
3187,Titan,1988,"Titus Software","Titus Software",1988-01-01
3188,Titanic,1991,"Topo Soft","Topo Soft",1991-01-01
3189,"Titus the Fox",1992,"Titus Interactive","Titus Interactive",1992-01-01
3190,T.K.O.,1989,"Accolade Inc.","Accolade Inc.",1989-01-01
3191,T-Mek,1996,"Atari Games","WizardWorks Software",1996-01-01
3192,Toad,"","","",
3193,Tomahawk,1987,"Digital Integration",Datasoft,1987-01-01
3194,"Tomb Raider",1996,"Core Design","Eidos Interactive",1996-01-01
3195,"Tomb Raider Gold",1998,"Core Design","Eidos Interactive",1998-01-01
3196,"Tomb, The",1992,"Nexus Software","Nexus Software",1992-01-01
3197,"Tom & Jerry",1993,"Albino Frog Software","Hi-Tech Expressions",1993-01-01
3198,"Tom & Jerry Cat-astrophe",1990,"Hi-Tech Expressions","Hi-Tech Expressions",1990-01-01
3199,"Tongue of the Fatman","","","",
3200,"Tony La Russa Baseball 2",1993,"Stormfront Studios","Strategic Simulations",1993-01-01
3201,"Tony La Russa Baseball 3",1995,"Stormfront Studios",Maxis,1995-01-01
3202,"Tony La Russa's Ultimate Baseball",1991,"Stormfront Studios","Strategic Simulations",1991-01-01
3203,"Tony La Russa's Ultimate Baseball: Ultimate Expansion Disk",1991,"Stormfront Studios","Strategic Simulations",1991-01-01
3204,"Toobin'",1989,Tengen,Domark,1989-01-01
3205,Toonstruck,1996,"Burst Studios","Virgin Interactive",1996-01-01
3206,"Top Gun",1987,"Ocean Software","Thunder Mountain[disambiguation needed]",1987-01-01
3207,"Top Gun: Fire At Will",1996,"Spectrum Holobyte",MicroProse,1996-01-01
3208,Toppler,1990,Locis,Locis,1990-01-01
3209,"Torin's Passage",1995,"Sierra On-Line","Sierra On-Line",1995-01-01
3210,Tornado,1993,"Digital Integration","Spectrum Holobyte",1993-01-01
3211,"Tornado: Operation Desert Storm",1994,"Digital Integration","Trimark Interactive",1994-01-01
3212,"Total Control Football","","","",
3213,"Total Eclipse",1988,"Major Developments",Domark,1988-01-01
3214,"Total Heaven","","","",
3215,"Total Meltdown","","","",
3216,"Total Sports","","","",
3217,"Touchdown Football",1984,Imagic,IBM,1984-01-01
3218,"Touché: The Adventures of the Fifth Musketeer",1995,"Clipper Software","CentreGold, U.S. Gold",1995-01-01
3219,"Tough Guy","","","",
3220,"Toushin Toshi","","","",
3221,"Tower Toppler",1988,"Hewson Consultants","U.S. Gold",1988-01-01
3222,"Town With No Name","","","",
3223,"Toyota Celica GT Rally","","","",
3224,"Toy Shop, The",1986,"Brøderbund","Brøderbund",1986-01-01
3225,"Tracer Sanction, The",1984,"Interplay Productions",Activision,1984-01-01
3226,"Track Attack","","","",
3227,Tracker,"","","",
3228,"Tracon II",1992,"Wesson International","Wesson International",1992-01-01
3229,"Traders: The Intergalactic Trading Game","","","",
3230,"Trade Wars 2002",1990,"Epic Interactive Strategy, Martech Software","Epic Interactive Strategy, Martech Software",1990-01-01
3231,"Traffic Department 2192",1994,"P-Squared Productions","Safari Software, Epic MegaGames",1994-01-01
3232,"The Train: Escape to Normandy",1988,Artech,"Accolade Inc.",1988-01-01
3233,Transarctica,1993,Silmarils,Silmarils,1993-01-01
3234,"Transport Tycoon",1994,MicroProse,MicroProse,1994-01-01
3235,"Transport Tycoon Deluxe",1996,MicroProse,MicroProse,1996-01-01
3236,Transylvania,1982,"Penguin Software","Penguin Software",1982-01-01
3237,"Transylvania III: Vanquish the Night",1990,"Merit Studios, Polarware","Merit Studios, Polarware",1990-01-01
3238,TRAZ,1989,Cascade,Cascade,1989-01-01
3239,"Treasure Cove!",1992,"The Learning Company","The Learning Company",1992-01-01
3240,"Treasure Hunt","","","",
3241,"Treasure MathStorm!",1992,"The Learning Company","The Learning Company",1992-01-01
3242,"Treasure Mountain!",1994,"The Learning Company","The Learning Company",1994-01-01
3243,"Treasure of the Ruins","","","",
3244,"Treasures of the Savage Frontier",1992,"Stormfront Studios","Strategic Simulations",1992-01-01
3245,"Treehouse, The",1991,"Brøderbund","Brøderbund",1991-01-01
3246,"Trek Trivia",1988,"Apogee Software","Apogee Software",1988-01-01
3247,"Trial by Magic","","","",
3248,"Trick or Treat","","","",
3249,Trilogy,1987,Mastertronic,Mastertronic,1987-01-01
3250,Trinity,1986,Infocom,Infocom,1986-01-01
3251,"Triplane Turmoil",1996,"Dodekaedron Software","Dodekaedron Software",1996-01-01
3252,"Triple Action Volume 5","","","",
3253,"Triple Conflict","","","",
3254,"Triple Play 97","","","",
3255,"Triple Tris Challenge","","","",
3256,"Triple Value Pack","","","",
3257,"Trivial Pursuit","","","",
3258,"Trivia 101",1984,"Digital Learning Systems",IBM,1984-01-01
3259,"Trivia Whiz",1988,"Micro F/X Software","Apogee Software",1988-01-01
3260,Troddlers,1993,Atod,"The Sales Curve, Seika",1993-01-01
3261,Trog!,1990,"Bally Midway","Acclaim Entertainment",1990-01-01
3262,"Troggle Trouble Math","","","",
3263,Troika,"","","",
3264,Trojan,1986,Capcom,Capcom,1986-01-01
3265,Trolls,"","","",
3266,"Troll's Tale",1984,"Sierra On-Line","Sierra On-Line",1984-01-01
3267,"Trophy Case, The","","","",
3268,Tube,"","","",
3269,Tubes,"","","",
3270,"Tubular Worlds",1994,"Dongleware Verlags GmbH","Creative Game Design",1994-01-01
3271,"Tunnel B1",1996,"NEON Software","Ocean Software",1996-01-01
3272,Tunneler,"","","",
3273,"TunnelMan, The","","","",
3274,"Tunnels of Armageddon","","","",
3275,"Tunnels & Trolls: Crusaders of Khazan",1990,"New World Computing","New World Computing, Flying Buffalo, Fiery Dragon Publications",1990-01-01
3276,Turbocar,"","","",
3277,"Turbo Outrun",1990,Sega,Sega,1990-01-01
3278,Turoid,1995,"Jason Truong","",1995-01-01
3279,"Turrican II: The Final Fight",1995,Sun-Project,"Rainbow Arts",1995-01-01
3280,"TV and Cinema 101: Trivia from Talkies to Trekkies",1984,"Digital Learning Systems",IBM,1984-01-01
3281,"TV Sports: Basketball",1990,Cinemaware,Mirrorsoft,1990-01-01
3282,"TV Sports: Boxing","","","",
3283,"TV Sports: Football","","","",
3284,"Twenty Wargame Classics","","","",
3285,"Twilight: 2000","","","",
3286,"Twilight Treasures","","","",
3287,"Twilight Zone, The","","","",
3288,"Twinsen's Odyssey",1997,"Adeline Software",Ubisoft,1997-01-01
3289,"Twisted Mini Golf","","","",
3290,"Typhoon of Steel",1991,"Strategic Simulations","Strategic Simulations",1991-01-01
3291,Tyrian,1995,"Eclipse Software","Epic MegaGames",1995-01-01
3292,"Tyrian 2000",1999,"Eclipse Software","Epic MegaGames",1999-01-01
3293,"UEFA Euro 96 England","","","",
3294,UFO,"","","",
3295,Ugh!,1992,"Bones Park Software Artistic",PlayByte,1992-01-01
3296,"Ultima I: The First Age of Darkness",1987,"Richard Garriott, Origin Systems","Origin Systems, Electronic Arts",1987-01-01
3297,"Ultima II: Revenge of the Enchantress",1982,"Richard Garriott","Sierra On-Line",1982-01-01
3298,"Ultima III: Exodus",1983,"Richard Garriott","Origin Systems",1983-01-01
3299,"Ultima IV: Quest of the Avatar",1985,"Richard Garriott","Origin Systems",1985-01-01
3300,"Ultima V: Warriors of Destiny",1985,"Richard Garriott","Origin Systems",1985-01-01
3301,"Ultima VI: The False Prophet",1988,"Origin Systems","Origin Systems",1988-01-01
3302,"Ultima VII: The Black Gate",1990,"Origin Systems","Origin Systems",1990-01-01
3303,"Ultima VII: The Forge of Virtue",1992,"Origin Systems","Origin Systems",1992-01-01
3304,"Ultima VII, Part Two: Serpent Isle",1993,"Origin Systems","Origin Systems",1993-01-01
3305,"Ultima VII, Part Two: The Silver Seed",1993,"Looking Glass Technologies","Origin Systems, Electronic Arts",1993-01-01
3306,"Ultima VIII: Pagan",1994,"Origin Systems","Origin Systems",1994-01-01
3307,"Ultima VIII: Pagan - Speech Pack",1994,"Origin Systems","Origin Systems",1994-01-01
3308,"Ultima Underworld: The Stygian Abyss",1992,"Blue Sky Productions","Origin Systems",1992-01-01
3309,"Ultima Underworld II: Labyrinth of Worlds",1993,"Origin Systems","Origin Systems",1993-01-01
3310,"Ultima: Worlds of Adventure 2: Martian Dreams",1991,"Origin Systems","Origin Systems",1991-01-01
3311,"Ultimate Add-On's - Tournament Edition",,,,
3312,"Ultimate Baccarat",1991,"Accidental Software","",1991-01-01
3313,"Ultimate Blackjack",1991,"Accidental Software","",1991-01-01
3314,"Ultimate Body Blows",1994,Team17,Team17,1994-01-01
3315,"Ultimate Domain",1992,"Microïds","Software Toolworks",1992-01-01
3316,"Ultimate Doom",1995,"id Software","id Software",1995-01-01
3317,"Ultimate Flight Pack","","","",
3318,"Ultimate Gin",1995,"Accidental Software","",1995-01-01
3319,"Ultimate NFL Coaches Club Football","","","",
3320,"Ultimate RPG Archives, The","","","",
3321,"Ultimate Soccer Manager","","","",
3322,"Ultimate Soccer Manager 2","","","",
3323,"Ultimate Tapan Kaikki, The","","","",
3324,"Ultimate Wizardry Archives, The","","","",
3325,Ultrabots,1993,Novalogic,"Electronic Arts",1993-01-01
3326,"Ultra Flight Pack",2000,"","",2000-01-01
3327,"Ulysses and the Golden Fleece",1982,"Sierra On-Line","Sierra On-Line",1982-01-01
3328,"UMS II: Nations at War",1990,"Intergalactic Development","Rainbird Software",1990-01-01
3329,"UMS: The Universal Military Simulator",1987,"Rainbird Software","Rainbird Software",1987-01-01
3330,"Uncharted Waters",1990,KOEI,KOEI,1990-01-01
3331,"Uncharted Waters 2: New Horizons",1995,KOEI,KOEI,1995-01-01
3332,"Uncover It",1994,"NSG[disambiguation needed]","Mirage Software",1994-01-01
3333,"Under a Killing Moon",1994,"Access Software","Access Software",1994-01-01
3334,"Under Fire!",1987,"Avalon Hill","Avalon Hill",1987-01-01
3335,Uninvited,1993,"ICOM Simulations",Mindscape,1993-01-01
3336,"United States Quiz",1993,Unknown,Unknown,1993-01-01
3337,Universe,1994,"Core Design","Core Design",1994-01-01
3338,"Unlimited Adventures",1993,MicroMagic,"Strategic Simulations",1993-01-01
3339,"Unnatural Selection",1993,Maxis,Maxis,1993-01-01
3340,"Unnecessary Roughness '95",1994,"Accolade Inc.","Accolade Inc.",1994-01-01
3341,"Unnecessary Roughness '96",1995,"Accolade Inc.","Accolade Inc.",1995-01-01
3342,Uno,1991,"Reasonable Solutions","Reasonable Solutions",1991-01-01
3343,Unreal,1998,"Epic Games, Digital Extremes","GT Interactive",1998-01-01
3344,"Untouchables, The",1989,"Ocean Software","Ocean Software",1989-01-01
3345,"Up Periscope!",1986,Actionsoft,Actionsoft,1986-01-01
3346,"Urban Runner",1996,"Coktel Vision","Sierra On-Line",1996-01-01
3347,Uridium,1988,"Hewson Consultants","Hewson Consultants",1988-01-01
3348,"U.S.A. East",1993,subLOGIC,subLOGIC,1993-01-01
3349,"US History: Western Settlement to Modern Day",1988,"","AEC Software",1988-01-01
3350,"U.S. Navy Fighters",1994,"Electronic Arts","Electronic Arts",1994-01-01
3351,"U.S.S. Stinger",1989,Novotrade,"Keypunch Software",1989-01-01
3352,"USS Ticonderoga: Life and Death on the High Seas",1995,"Intelligent Games",Mindscape,1995-01-01
3353,"Usurper: The Mines Of Qyntarr, The",1988,Sir-Tech,Sir-Tech,1988-01-01
3354,"Utopia: The Creation of a Nation",1991,"Celestial Software","Gremlin Interactive",1991-01-01
3355,"Vacation Gone Awry","","","",
